"module_id","course_id","activity_type","activity_id","course_section","date_added"
"31","7","assign","5","41","2020-03-17 12:07:41"
"109","22","attendance","1","117","2020-06-01 11:52:09"
"27","7","book","1","41","2020-03-17 10:29:08"
"1997","61","choice","3","525","2020-09-14 17:02:48"
"10759","242","choicegroup","2","2194","2021-07-10 22:20:24"
"8484","188","customcert","35","1747","2021-04-22 09:21:33"
"3669","44","feedback","12","369","2020-11-27 09:52:20"
"2734","35","folder","5","236","2020-10-28 19:17:36"
"3","4","forum","3","12","2019-10-09 11:11:38"
"5426","114","glossary","65","1084","2020-11-26 09:22:52"
"33666","704","h5pactivity","9","6496","2022-08-25 10:49:48"
"54","7","hvp","1","42","2020-03-25 14:41:13"
"19141","425","label","19","3606","2022-01-03 12:21:19"
"19915","466","lesson","161","4092","2021-01-27 13:26:21"
"23020","535","lti","4","4788","2021-09-11 10:52:18"
"25","7","page","2","41","2020-03-16 21:57:01"
"53","8","quiz","11","46","2020-03-21 08:23:29"
"24","7","resource","1","41","2020-03-16 21:50:15"
"20324","432","scorm","168","4162","2022-01-04 14:32:19"
"35351","838","survey","7","7700","2020-09-22 13:02:55"
"41","8","url","2","46","2020-03-19 16:06:24"
"22201","515","workshop","75","4598","2020-11-03 17:13:26"
