"course_id","category_id","category_name"
"1","0",NULL
"4","7","No habiltados "
"6","3","Cursos Vocacionales"
"7","4","Academia de Desarrolladores de Software"
"8","4","Academia de Desarrolladores de Software"
"12","7","No habiltados "
"21","4","Academia de Desarrolladores de Software"
"22","4","Academia de Desarrolladores de Software"
"24","5","Administración "
"25","7","No habiltados "
"26","5","Administración "
"32","7","No habiltados "
"35","128","2023"
"41","128","2023"
"44","3","Cursos Vocacionales"
"61","7","No habiltados "
"67","128","2023"
"76","5","Administración "
"79","3","Cursos Vocacionales"
"80","3","Cursos Vocacionales"
"81","3","Cursos Vocacionales"
"85","13","Capacitación para Docentes para el Desarrollo de Habilidades para la Educación Virtual"
"86","13","Capacitación para Docentes para el Desarrollo de Habilidades para la Educación Virtual"
"87","13","Capacitación para Docentes para el Desarrollo de Habilidades para la Educación Virtual"
"88","13","Capacitación para Docentes para el Desarrollo de Habilidades para la Educación Virtual"
"89","13","Capacitación para Docentes para el Desarrollo de Habilidades para la Educación Virtual"
"90","14","Capacitación para Directivos de Centros Educativos"
"91","14","Capacitación para Directivos de Centros Educativos"
"112","22","Cohorte 1"
"114","22","Cohorte 1"
"116","22","Cohorte 1"
"118","22","Cohorte 1"
"120","22","Cohorte 1"
"122","22","Cohorte 1"
"129","51","Alfabetización Digital"
"134","24","Webinar"
"166","51","Alfabetización Digital"
"168","12","Alfabetización digital"
"188","8","Madres Cuidadoras"
"191","51","Alfabetización Digital"
"192","51","Alfabetización Digital"
"193","51","Alfabetización Digital"
"194","51","Alfabetización Digital"
"195","51","Alfabetización Digital"
"197","51","Alfabetización Digital"
"211","22","Cohorte 1"
"217","30","Especialistas en el Cuidado de Adulto Mayor"
"218","30","Especialistas en el Cuidado de Adulto Mayor"
"219","30","Especialistas en el Cuidado de Adulto Mayor"
"220","30","Especialistas en el Cuidado de Adulto Mayor"
"221","30","Especialistas en el Cuidado de Adulto Mayor"
"222","30","Especialistas en el Cuidado de Adulto Mayor"
"223","30","Especialistas en el Cuidado de Adulto Mayor"
"224","30","Especialistas en el Cuidado de Adulto Mayor"
"242","51","Alfabetización Digital"
"244","174","Cursos complementario 2024"
"245","128","2023"
"247","51","Alfabetización Digital"
"248","51","Alfabetización Digital"
"249","51","Alfabetización Digital"
"291","52","Borradores"
"294","52","Borradores"
"295","52","Borradores"
"298","3","Cursos Vocacionales"
"301","3","Cursos Vocacionales"
"309","52","Borradores"
"310","52","Borradores"
"312","52","Borradores"
"313","52","Borradores"
"314","52","Borradores"
"316","52","Borradores"
"317","52","Borradores"
"322","3","Cursos Vocacionales"
"329","52","Borradores"
"330","52","Borradores"
"331","52","Borradores"
"332","52","Borradores"
"333","52","Borradores"
"335","52","Borradores"
"350","39","Inclusión"
"351","7","No habiltados "
"353","128","2023"
"389","8","Madres Cuidadoras"
"390","8","Madres Cuidadoras"
"391","8","Madres Cuidadoras"
"425","3","Cursos Vocacionales"
"426","3","Cursos Vocacionales"
"432","3","Cursos Vocacionales"
"466","128","2023"
"468","3","Cursos Vocacionales"
"470","12","Alfabetización digital"
"471","12","Alfabetización digital"
"472","15","Capacitación para el Desarrollo de Habilidades Digitales"
"473","15","Capacitación para el Desarrollo de Habilidades Digitales"
"474","15","Capacitación para el Desarrollo de Habilidades Digitales"
"475","15","Capacitación para el Desarrollo de Habilidades Digitales"
"515","128","2023"
"517","128","2023"
"520","128","2023"
"526","128","2023"
"535","3","Cursos Vocacionales"
"536","3","Cursos Vocacionales"
"539","3","Cursos Vocacionales"
"540","3","Cursos Vocacionales"
"544","3","Cursos Vocacionales"
"546","3","Cursos Vocacionales"
"554","3","Cursos Vocacionales"
"555","3","Cursos Vocacionales"
"557","3","Cursos Vocacionales"
"558","3","Cursos Vocacionales"
"561","3","Cursos Vocacionales"
"566","3","Cursos Vocacionales"
"590","14","Capacitación para Directivos de Centros Educativos"
"602","3","Cursos Vocacionales"
"603","3","Cursos Vocacionales"
"611","3","Cursos Vocacionales"
"690","16","Capacitación para e Desarrollo de Habilidades y Transformación Digital"
