"id","nombre","descripcion"
"3","Cursos Vocacionales","<p>Cursos vocacionales certificados por INADEH</p>"
"4","Academia de Desarrolladores de Software","<p>Programa intensivo para la formación de desarrolladores de aplicaciones web.</p>"
"5","Administración ","<p>Sección para documentos y reportes.</p>"
"6","Cursos culturales",
"7","No habiltados ",
"8","Madres Cuidadoras",
"11","Inclusión digital y perfeccionamiento docente",
"12","Alfabetización digital",
"13","Capacitación para Docentes para el Desarrollo de Habilidades para la Educación Virtual",
"14","Capacitación para Directivos de Centros Educativos",
"15","Capacitación para el Desarrollo de Habilidades Digitales",
"16","Capacitación para e Desarrollo de Habilidades y Transformación Digital",
"22","Cohorte 1",
"24","Webinar",
"30","Especialistas en el Cuidado de Adulto Mayor",
"39","Inclusión",
"51","Alfabetización Digital",
"52","Borradores",
"81","Academia de emprendedores",
"82","Convocatoria 1",
"83","Cohorte 2",
"84","Cohorte 3",
"87","Cohorte 4","<p dir=""ltr"" style=""text-align: left;"">Presencial</p>"
"88","Cohorte 5","<p dir=""ltr"" style=""text-align: left;"">Presencial&nbsp;</p>"
"89","STEAM",
"92","Convocatoria 1 - 2024",
"98","Liderazgo e inglés 2023",
"100","Meduca 2023",
"101","Cambio Climático",
"103","Habilidades",
"104","Inglés",
"105","STEAM",
"114","Madres Cuidadoras 2024",
"115","Cohorte 1-2024",
"116","Cohorte 2-2024",
"117","Cohorte 3- 2024",
"118","Cohorte 4-2024",
"119","Cohorte 5-2024",
"120","Cohorte 6-2024",
"124","Emprendimiento Juvenil, de Mujeres y Adultos 2024",
"125","Capacitación para el Desarrollo de Habilidades de Emprendimiento Juvenil",
"126","Diplomado para el Desarrollo de Habilidades de Emprendimiento Modalidad Virtual",
"127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial ",
"128","2023",
"129","Club House",
"130","Cohorte 1 2024",
"131","Ensamblaje de Computador",
"135","Cohorte 2 2024",
"138","convocatoria 1",
"140","Tecnología",
"144","Convocatoria 1 2024",
"145","Cohorte 3 2024",
"148","Paso Seguro",
"153","Convocatoria 2 2024",
"156","Habilidades de Emprendimiento  Modalidad Autodirigido",
"157","Empoderamiento de la Mujer Originales","<p>Brindar orientación, asesoramiento, información y apoyo psicoeducativo-social para mujeres jóvenes que estén cursando 11mo y/o 12mo año de los Centros Educativos Oficiales y mujeres mayores de edad con enfoque en los derechos humanos para la construcción social de género, prevención de violencia basada en su desarrollo vocacional y profesional enmarcado en la situación económica y social del país para contribuir con la construcción social de género, la prevención de la violencia basada en género y la erradicación de la pobreza, superar la desigualdad y profundizar en una soberanía solidaria.</p>"
"158","Orientación Vocacional para el éxito Profesional",
"159","Formación en TICS para Mujeres",
"160","Formación Integral para la inserción Laboral",
"161","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica",
"162","Ensamblaje-Voluntariado",
"164","Empoderamiento de la Mujer 2025",
"165","Orientación Vocacional para el éxito Profesional Cohorte 1",
"166","Formación en TICS para Mujeres Cohorte 1",
"167","Formación Integral para la inserción Laboral Cohorte 1",
"168","Formación para Niñas y Jovenes en STEAM e introducción Tecnológica",
"169","Formación Integral para la Inserción Laboral Cohorte 2",
"170","Orientación Vocacional para el éxito Profesional Cohorte 2",
"171","Formación en Tics para Mujeres Cohorte 2",
"172","Orientación Vocacional para el éxito Profesional Cohorte 3",
"173","Formación Integral para la Inserción Laboral Cohorte 3",
"174","Cursos complementario 2024",
"175","Orientación Vocacional para el Éxito Profesional Cohorte 4",
